"folio","demandado","addresses","lon","lat","geoAddress"
"0012-2016",7,"AVENIDA CENTENARIO 3008 INTEIOR J 201 , BOSQUES DE TARANGO , CDMX, MEXICO",-99.24958,19.3506895,"interior j 201, av centenario 3008, bosques de tarango, 01580 ciudad de méxico, cdmx, mexico"
"0020-2015",1,"MONTESITO 38 PISO 21 OFICINA 28 , NAPOLES , CDMX, MEXICO",-99.1744778,19.3936677,"piso 21 oficina 28, montecito 38, nápoles, 03810 ciudad de méxico, cdmx, mexico"
"0020-2015",3,"MONTESITO 38 PISO 21 OFICINA 28 NAPOLES DELEGACION BENITO JUAREZ ,  , CDMX, MEXICO",-99.1744778,19.3936677,"piso 21 oficina 28, montecito 38, nápoles, 03810 ciudad de méxico, cdmx, mexico"
"0020-2015",7,"YACATAS 325 , NARVARTE , CDMX, MEXICO",-99.1558508,19.3895839,"calle yacatas 325, narvarte poniente, 03020 ciudad de méxico, cdmx, mexico"
"0038-2009",1,"AVENIDA INSURGENTES SUR 4386 , LA JOYA , CDMX, MEXICO",-99.1689089,19.2798907,"insurgentes sur 4386, tlalpan centro ii, 14000 ciudad de méxico, cdmx, mexico"
"0038-2009",7,"AVENIDA SAN FRANCISCO 1384 TORRE B TERCER PISO , DEL VALLE , CDMX, MEXICO",-99.2310062,19.3154571,"avenida san francisco 1384, san jerónimo aculco, ciudad de méxico, cdmx, mexico"
"0041-2015",1,"NEXTENGO 78 , SANTA CRUZ ACAYUCAN , CDMX, MEXICO",-99.1908737,19.4731103,"calle camino a nextengo 78, santa cruz acayucan, 02770 ciudad de méxico, cdmx, mexico"
"0041-2015",2,"ALEJANDRO DE RODAS 3102 A , CUMBRES OCTAVO SECTOR , CDMX, MEXICO",-100.3981255,25.7349715,"calle alejandro de rodas, nuevo león, mexico"
"0041-2015",3,"HERSCHEL 54 , ANZURES , CDMX, MEXICO",-99.1803657,19.4311056,"calle herschel 54, anzures, 11590 ciudad de méxico, cdmx, mexico"
"0041-2015",4,"ZACATECAS 90 , ROMA , CDMX, MEXICO",-99.1585056,19.4159559,"zacatecas 90, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0041-2015",7,"ESCOBEDO 373, PISO 4, DESPACHO 401 Y 404 , CHAPULTEPEC MORALES , CDMX, MEXICO",-99.1835086,19.4398698,"calz. gral. mariano escobedo, ciudad de méxico, cdmx, mexico"
"0041-2016",1,"CALZADA IGNACIO ZARAGOZA 1154 , PANTITLAN , CDMX, MEXICO",-99.0620329,19.4015425,"calz. ignacio zaragoza 1154, agrícola pantitlán, 08100 ciudad de méxico, cdmx, mexico"
"0041-2016",7,"SANTA MARGARITA 518 , INSURGENTES SAN BORJA , CDMX, MEXICO",-99.17573,19.38168,"santa margarita 518, insurgentes san borja, 03100 ciudad de méxico, cdmx, mexico"
"0042-2016",1,"AVENIDA TEZOZOMOC 405 , PETROLERA , CDMX, MEXICO",-99.1962973,19.4844995,"av tezozomoc 405, petrolera, 02480 ciudad de méxico, cdmx, mexico"
"0042-2016",7,"AVENIDA COLONIA DEL VALLE 511 SEGUNDO PISO , DEL VALLE , CDMX, MEXICO",-99.1691629,19.3880786,"avenida colonia del valle 511, col del valle centro, 03100 ciudad de méxico, cdmx, mexico"
"0044-2015",1,"PROLONGACION 5 DE MAYO 2 INETRIOR W , SAN PEDRO MARTIR , CDMX, MEXICO",-99.1738069,19.2674836,"prol. av. 5 de mayo 2, san pedro mártir, 14650 ciudad de méxico, cdmx, mexico"
"0044-2015",7,"AVENIDA CANAL NACIONAL 32-A , UTCM CLHUACAN SECCION III , CDMX, MEXICO",-99.1054805,19.3237504,"canal nacional 32a, canal nacional, 04489 ciudad de méxico, cdmx, mexico"
"0044-2016",1,"SALVADOR DIAZ MIRON 154 , SANTA MARIA LA RIVERA , CDMX, MEXICO",-99.1601776,19.4491738,"calle salvador díaz mirón 154, sta maría la ribera, 06400 ciudad de méxico, cdmx, mexico"
"0044-2016",7,"DE MITLA 22 , NARVARTE , CDMX, MEXICO",-99.1492155,19.399033,"mitla 22, narvarte poniente, 03020 ciudad de méxico, cdmx, mexico"
"0045-2015",1,"PONIENTE 3 MANZANA 16 LOTE 3 , CUCHILLA DEL TESORO , CDMX, MEXICO",-99.0656421,19.4466486,"lote 3, pte. 16 3, cuchilla del tesoro, 07900 ciudad de méxico, cdmx, mexico"
"0045-2015",7,"CALZADA DEL OBRERO MUNDIAL 826 DESPACHO 102 , ALAMOS , CDMX, MEXICO",-99.1413468,19.4028442,"calz. obrero mundial 826, álamos, 03400 ciudad de méxico, cdmx, mexico"
"0046-2015",2,"CALLE PONIENTE 3 MANZANA 16 LOTE 3 , CUCHILLA DEL TESORO , CDMX, MEXICO",-99.0591376,19.4477906,"poniente 3, 07900 ciudad de méxico, cdmx, mexico"
"0046-2015",7,"CALZADA OBRERO MUNDIAL 826 INT 102 , ALAMOS , CDMX, MEXICO",-99.1413468,19.4028442,"int 102, calz. obrero mundial 826, álamos, 03400 ciudad de méxico, cdmx, mexico"
"0046-2016",1,"AVENIDA CHAPULTEPEC 408 , ROMA NORTE , CDMX, MEXICO",-99.1679734,19.4220429,"av chapultepec 408, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0046-2016",7,"INDEPENDENCIA 72 DESPACHO 103 , CENTRO , CDMX, MEXICO",-99.145886,19.4334202,"av independencia 72, colonia centro, centro, 06000 centro, cdmx, mexico"
