"folio","demandado","addresses","lon","lat","geoAddress"
"0117-2014",7,"CALZADA DE TLALPAN 489 DESPACHO 100 , ALAMOS , CDMX, MEXICO",-99.1375946,19.3995692,"calz. de tlalpan 489, álamos, 03400 ciudad de méxico, cdmx, mexico"
"0118-2014",1,"HEROE DE NACOZARI 54 , MORELOS , CDMX, MEXICO",-99.1197836,19.436147,"héroe de nacozari 54, penitenciaría, 15350 ciudad de méxico, cdmx, mexico"
"0118-2014",7,"CALZADA SAN ANTONIO ABAD 122 4TO PISO , TRANSITO , CDMX, MEXICO",-99.1341976,19.4168051,"4to piso, calz. san antonio abad 122, tránsito, 06820 ciudad de méxico, cdmx, mexico"
"0120-2014",1,"AVENIDA CONSCRIPTO 311 A , LOMAS DE SOTELO , CDMX, MEXICO",-99.2243506,19.4396646,"centro banamex, av. del conscripto 311, lomas de sotelo, hipódromo de las américas, 11200 ciudad de méxico, méx., mexico"
"0120-2014",7,"SAN ANTONIO ABAD 122 PISO 4 , TRANSITO , CDMX, MEXICO",-99.1341976,19.4168051,"piso 4, calz. san antonio abad 122, tránsito, 06820 ciudad de méxico, cdmx, mexico"
"0120-2015",1,"BOULEVARD ADOLFO LOPEZ MATEOS 282 , SAN PEDRO DE LOS PINOS , CDMX, MEXICO",-99.1900119,19.3892879,"blvd. adolfo lópez mateos 282, san pedro de los pinos, 01180 ciudad de méxico, cdmx, mexico"
"0120-2015",7,"ISABEL LA CATOLICA 45 DESPACHO 309 , CENTRO , CDMX, MEXICO",-99.136626,19.4315964,"calle isabel la catolica 45, centro histórico, centro, 06000 ciudad de méxico, cdmx, mexico"
"0126-2015",1,"AVENIDA JALISCO ESQUINA CARLOS LAZO , TACUBAYA , CDMX, MEXICO",-99.1877181,19.4022489,"av. jalisco & arquitecto carlos lazo, tacubaya, 11870 ciudad de méxico, cdmx, mexico"
"0126-2015",2,"AVENIDA VASCO DE QUIROGA 655 , CUEVITAS , CDMX, MEXICO",-99.2284558,19.3846994,"vasco de quiroga 655, estrella, 01220 ciudad de méxico, cdmx, mexico"
"0126-2015",4,"AVENIDA JALISCO ESQUINA CARLOS LAZO; AVENIDA VASCO DE QUIROGA 655 , TACUBAYA; CUEVITAS , CDMX, MEXICO",-103.3494376,20.6595382,"jalisco, mexico"
"0126-2015",7,"AVENIDA ALVARO OBREGON 186 , ROMA , CDMX, MEXICO",-99.163324,19.4172372,"av. álvaro obregón 186, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0127-2015",1,"GALILEO GALILEI 4156 INTERIOR 1 , ARBOLEDAS , CDMX, MEXICO",-103.4275394,20.6284516,"interior 1, galileo galilei 4156, arboledas, 45070 zapopan, jal., mexico"
"0127-2015",2,"LA FONTAINE 92 INTERIOR 1 , POLANCO CHAPULTEPEC , CDMX, MEXICO",-99.1985582,19.431343,"interior 1, lafontaine 92, polanco, polanco iii secc, 11550 ciudad de méxico, cdmx, mexico"
"0127-2015",3,"GALILEO GALILEI NUMERO 4156 INTERIOR 1 ; LA FONTAINE 92 INTERIOR 1 , ARBOLEDAS; POLANCO CHAPULTEPEC , CDMX, MEXICO",-99.2649154,19.3213641,"numero 4156 interior 1, arboledas 1, tlacoyaque, 01859 ciudad de méxico, cdmx, mexico"
"0127-2015",7,"PRADO NORTE 155 , LOMAS DE CHAPULTEPEC , CDMX, MEXICO",-99.2065968,19.4276942,"avenida prado norte 155, lomas - virreyes, lomas de chapultepec iii secc, 11000 ciudad de méxico, cdmx, mexico"
"0132-2016",1,"AVENIDA CHAPULTEPEC 442; PATRIOTISMO 735 , ROMA: MIXCOAC , CDMX, MEXICO",-99.1696348,19.421846,"av chapultepec 442, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0132-2016",7,"FRANCISCO DIAZ COVARRUBIAS 60 INTERIOR 6 , SAN RAFAEL , CDMX, MEXICO",-99.1659787,19.4368474,"interior 6, calle de francisco díaz covarrubias 60, san rafael, 06470 ciudad de méxico, cdmx, mexico"
"0133-2016",1,"MONTECITO 38 PISO 1 OFICINA 33 , NAPOLES , CDMX, MEXICO",-99.1744778,19.3936677,"piso 1 oficina 33, montecito 38, nápoles, 03810 ciudad de méxico, cdmx, mexico"
"0133-2016",7,"IGNACIO MARISCAL 32 SEGUNDO PISO DESPACHO 203 , TABACALERA , CDMX, MEXICO",-99.150449,19.437127,"ignacio mariscal #32 piso 2, despacho 203 cuauhtémoc esquina con jesús terán, tabacalera, 06030 ciudad de méxico, mexico"
"0134-2014",1,"SAN LORENZO 279 INTERIOR 10 , SAN NICOLAS TOLENTINO , CDMX, MEXICO",-99.0754643,19.3290562,"av. san lorenzo 279, bodegas 37 y 38, san nicolas tolentino, cerro de la estrella, 09850 ciudad de méxico, cdmx, mexico"
"0134-2014",7,"AVENIDA ARCOS DE BELEN 37 EDIFICIO I DESPACHO 305 , CENTRO , CDMX, MEXICO",-99.1449543,19.4272458,"av arcos de belén 37, colonia centro, centro, 06000 centro, cdmx, mexico"
"0134-2016",1,"ALICANTE 127 , ALAMOS , CDMX, MEXICO",-99.145064,19.3922068,"alicante 127, postal, 03410 ciudad de méxico, cdmx, mexico"
"0134-2016",2,"ALICANTE 127-1 , ALAMOS , CDMX, MEXICO",-99.145064,19.3922068,"alicante 127, postal, 03410 ciudad de méxico, cdmx, mexico"
"0134-2016",7,"AVENIDA REFORMA 93 , SAN LORENZO TEZONCO , CDMX, MEXICO",-99.068534,19.3208558,"av. reforma 93, lomas de san lorenzo, 09780 ciudad de méxico, cdmx, mexico"
"0135-2016",1,"EUROPA 23 , BARRIO LA CONCEPCION , CDMX, MEXICO",-99.1568924,19.3433409,"europa 23, barrio del niño jesús, 04330 ciudad de méxico, cdmx, mexico"
"0135-2016",7,"DONATO GUERRA 01 DESPACHO 312 , JUAREZ , CDMX, MEXICO",-99.1509364,19.433341,"donato guerra 1, juárez, 06600 ciudad de méxico, cdmx, mexico"
"0137-2014",1,"BOSQUES DE CIRUELOS 194 , BOSQUES DE LAS LOMAS , CDMX, MEXICO",-99.239371,19.4055274,"bosque de los ciruelos 194, bosque de las lomas, 11700 ciudad de méxico, cdmx, mexico"
"0137-2014",7,"INSURGENTES SUR 105 PISO 14 , JUAREZ , CDMX, MEXICO",-99.162384,19.425475,"piso 14, insurgentes sur 105, roma sur, 06600 ciudad de méxico, cdmx, mexico"
"0139-2015",1,"VEINTIOCHO 90 A , FEDERAL , CDMX, MEXICO",-99.0920049,19.4246173,"calle 28 90a, federal, 15700 ciudad de méxico, cdmx, mexico"
"0139-2015",2,"AVENIDA EJERCITO NACIONAL 579 PISO 5 , GRANADA , CDMX, MEXICO",-99.1934529,19.4383826,"piso 5, av ejército nacional 579, granada, 11520 ciudad de méxico, cdmx, mexico"
"0139-2015",7,"RIO PO 39 PLANTA BAJA INTERIOR A , CUAUHTEMOC , CDMX, MEXICO",-99.1696711,19.4320274,"interior a, calle río po 39, cuauhtémoc, 06500 ciudad de méxico, cdmx, mexico"
"0140-2016",1,"AVENIDA EJERCITO NACIONAL 5 , VERONICA ANZURES , CDMX, MEXICO",-99.1726448,19.4327629,"av ejército nacional 5, verónica anzúres, 11300 ciudad de méxico, cdmx, mexico"
"0140-2016",7,"BUCARELI 158 , CENTRO , CDMX, MEXICO",-99.1530313,19.427057,"bucareli 158, colonia centro, juárez, 06040 ciudad de méxico, cdmx, mexico"
"0143-2016",1,"MARINA NACIONAL 157 , ANAHUAC , CDMX, MEXICO",-99.1812097,19.4462318,"av. marina nacional 157, mariano escobedo, 11320 ciudad de méxico, cdmx, mexico"
